Titel;Auteur;Plaatsing;Plaatsing omschrijving;Pl.Opmerking;Zizo Jeugd;Prijs;Jaargang;Genre Jeugd;Hoofdwoord;Exemplaar;Exem-id;Magazijn;Materiaal;Min. leeftijd;Status;Bijlage;Categorie
100% Mila;Smit, Niki;JFC;Jeugd fictie 12-14 jaar;SMIT;;13.95;;;;PI0544817;4356245;N;B4;0;B;;4
100% Mila;Smit, Niki;JFC;Jeugd fictie 12-14 jaar blauw;SMIT;;12.95;;;;NA0825573;4656857;N;B4;0;B;N;4
100% Mila & 100% love;Smit, Niki;JFC;Jeugd fictie 12-14 jaar blauw;SMIT;;0.00;;;;NA1096540;6178185;N;B4;0;B;;4
100% paardengek;Christiaanse, Nicolle;JFB;Jeugd fictie 9-11 jaar rood;CHRI;;14.99;;;;NA1166905;6148799;N;B4;0;B;;4
100% Timboektoe;Slee, Carry;JFC;Jeugd fictie 12-14 jaar;SLEE;;0.00;;;;PI0373869;4066739;N;B4;0;B;;4
100% Timboektoe;Slee, Carry;JFC;Jeugd fictie 12-14 jaar blauw;SLEE;;13.50;;;;NA0605719;4066738;N;B4;0;B;;4
100% wolf;Stadermann, Alexs;FSJ;Speelfilms jeugd;;;11.31;    ;;WOLF;3,00E+13;26779334;N;D4;0;B;;4
1000 dingen om te maken en te doen;Watt, Fiona;JIO;Jeugd info: vrije tijd - kunst;;VRKNU;19.99;    ;;;PI0710806;5150754;N;B5;0;B;;5
1000 woorden Nederlands-Engels : leer alledaagse woorden in twee ;Peskin, Svetlana;JIP;Jeugd info: taal;;TAENG;12.50;;;;NA1174053;6356991;N;B5;0;B;;5
101 dalmatiërs;Disney, Walt;SJA;Strips jeugd 6-8 jaar;Disney;;0.00;    ;;;NA0151033;2760743;N;S4;0;B;;4
101 dalmatiërs;Reitherman, Wolfgang;FSJ;Speelfilms jeugd;101;;24.95;;;;PI0831530;4752495;N;D4;0;U;;4
101 dingen die je moet doen voor je 12 bent;Dower, Laura;JIO;Jeugd info: vrije tijd - kunst;;VRVRI;10.00;;;;3,00E+13;25365520;N;B5;0;B;;5
101 dingen om binnen te doen voor je 12 bent;Jacobs, Pat;JIO;Jeugd info: vrije tijd - kunst;;VRVRI;9.99;;;;NA1142194;5827144;N;B5;0;U;;5
101 dingen om binnen te doen voor je 12 bent;Jacobs, Pat;JIO;Jeugd info: vrije tijd - kunst;;VRVRI;9.99;;;;PI0766690;5827145;N;B5;0;B;;5
101 dingen om buiten te doen;;JIO;Jeugd info: vrije tijd - kunst;;VRSPE;9.99;;;;NA1028928;5588714;N;B5;0;U;;5
101 dingen om buiten te doen;;JIO;Jeugd info: vrije tijd - kunst;;VRSPE;9.99;;;;PI0717088;5588715;N;B5;0;B;;5
101 geestige moppen om je dood te lachen!;;JIO;Jeugd info: vrije tijd - kunst;;VRMOP;5.00;;;;3,00E+13;14618619;N;B5;0;U;;5
101 grappige raadsels die je hersens doen kraken!;;JIO;Jeugd info: vrije tijd - kunst;;VRMOP;5.00;;;;3,00E+13;14618623;N;B5;0;U;;5
101 wetenschappe-leuke experimenten : om zelf te doen : avontuurl;Ardley, Neil;JIF;Jeugd info: wetenschappen;;WTPRO;15.99;;;;PI0721581;5626711;N;B5;0;B;;5
101 wetenschappe-leuke experimenten : om zelf te doen : avontuurl;Ardley, Neil;JIF;Jeugd info: wetenschappen;9+ - rood;WTPRO;15.99;;;;NA1029681;5626708;N;B5;0;B;;5
101 zotste moppen aller tijden!;;JIO;Jeugd info: vrije tijd - kunst;;VRMOP;5.00;;;;3,00E+13;14618615;N;B5;0;B;;5
11 september : terroristen slaan toe;Beecroft, Simon;JIK;Jeugd info: geschiedenis;9+ - rood;GETWI;0.00;    ;;;NA0493392;3071688;N;B5;0;B;;5
11 september 2001 : de terroristische aanslagen op de VS;Lalley, Patrick;JIN;Jeugd info: dagelijks leven;;DASAM;0.00;;;;PI0351377;2709176;N;B5;0;B;;5
123 superslimme dingen die je moet weten over het klimaat;Masters, Mathilda;JIH;Jeugd info: natuur;;NAMIL;15.99;;;;3,00E+13;7120919;N;B5;0;B;;5
123 superslimme dingen die je moet weten over het klimaat;Masters, Mathilda;JIH;Jeugd info: natuur;9+ - rood;NAMIL;0.00;    ;;;3,00E+13;7317535;N;B5;0;B;;5
123 superslimme dingen die je moet weten over liefde & seks;Masters, Mathilda;JIM;Jeugd info: mens;;MELAM;15.99;;;;3,00E+13;17539439;N;B5;0;U;;5
123 superslimme dingen die je moet weten over liefde & seks;Masters, Mathilda;JIM;Jeugd info: mens;;MESEK;15.99;;;;3,00E+13;17571997;N;B5;0;U;;5
13 ½ ongelooflijke dingen die je moet weten over alles;Brown, Carron;JIE;Jeugd info: weetjes;;WEENC;22.50;;;;NA1108417;6218964;N;B5;0;U;;5
13 ½ ongelooflijke dingen die je moet weten over alles;Brown, Carron;JIF;Jeugd info: wetenschappen;;WEENC;22.50;;;;PI0816736;6218965;N;B5;0;U;;5
13 minuten;Pinborough, Sarah;YF0;Adolescenten;PINB;;18.99;;;;PI0776270;5911835;N;BA;0;B;;4
13 minuten;Pinborough, Sarah;YF0;Jongeren fictie grijs;PINB;;18.99;;;;NA1092111;5911832;N;BA;0;B;;4
14-18 : de Eerste Wereldoorlog;Brown, Annie;JIK;Jeugd info: geschiedenis;;GEWER;0.00;;;;PI0241458;2738740;N;B5;0;U;;5
15 jaar Bumba;;FSJ;Speelfilms jeugd;FILM BUMB;;16.95;;;;NA1055704;6311377;N;D4;0;B;;2
15 jaar!;Samson & Gert;FSJ;Speelfilms jeugd;SAMS;;0.00;;;;NA1162578;3092301;N;D4;0;B;;2
16 & zwanger : wat nu?;Hoefnagel, Marian;JMC;Jeugd makkelijk lezen 12-14 j;;;12.50;    ;;H;NA0752800;3372172;N;BA;0;B;;4
17 doelen voor een betere wereld;Spilsbury, Louise;JIN;Jeugd info: dagelijks leven;;DAMAA;19.00;;;;3,00E+13;21648928;N;B5;0;B;;5
19 keer Katherine;Green, John;YF0;Jongeren fictie grijs;GREE;;0.00;;;;NA0911097;5228601;N;BA;0;B;;4
19|91;Rijpert, Tom;JFC;Jeugd fictie 12-14 jaar;;;19.50;;;RIJP;3,00E+13;31508793;N;B4;0;B;;4
19|91;Rijpert, Tom;JFC;Jeugd fictie 12-14 jaar blauw;;;19.50;;;RIJP;3,00E+13;31542241;N;B4;0;U;;4
1914 : het weeshuis;Hautière, Régis;SJC;Strips jeugd 12-14 jaar;Oorlog van de Lulu's;;9.50;    ;;;NA0852651;5235801;N;S4;0;B;;4
1915 : Hans;Hautière, Régis;SJC;Strips jeugd 12-14 jaar;Oorlog van de Lulu's;;9.50;    ;;;NA0858374;5274276;N;S4;0;B;;4
1916 : de hoop stenen;Hautière, Régis;SJC;Strips jeugd 12-14 jaar;Oorlog van de Lulu's;;8.95;    ;;;NA0972282;5524076;N;S4;0;B;;4
1916 : de hoop stenen;Hautière, Régis;SJC;Strips jeugd 12-14 jaar;Oorlog van de Lulu's;;9.50;    ;;;NA1020064;5524077;N;S4;0;B;;2
1917 : het afscheid;Hautière, Régis;SJC;Strips jeugd 12-14 jaar;Oorlog van de Lulu's;;9.50;    ;;;NA1143360;5801731;N;S4;0;B;;2
1917 : het afscheid;Hautière, Régis;SJC;Strips jeugd 12-14 jaar;Oorlog van de Lulu's;;9.95;    ;;;NA1088599;5801730;N;S4;0;B;;4
1918 : de allerlaatste;Hautière, Régis;SJC;Strips jeugd 12-14 jaar;Oorlog van de Lulu's;;9.95;    ;;;NA1095080;6048242;N;S4;0;B;;4
1918 : de allerlaatste;Hautière, Régis;SJC;Strips jeugd 12-14 jaar;Oorlog van de Lulu's;;9.95;    ;;;NA116760X;6048243;N;S4;0;B;;4
2 + 1;Johnson, Maureen;YF0;Jongeren fictie grijs;JOHN;;14.95;;;;NA0722677;4054309;N;BA;0;B;;4
20 jaar later;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;5.25;    ;;;NA0731285;4164579;N;S4;0;U;;4
20 jaar later;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;5.25;    ;;;NA0877247;4164578;N;S4;0;U;;4
20 vragen voor Gloria;Bedford, Martyn;YF0;Adolescenten;BEDF;;18.99;;;;PI0749214;5773281;N;BA;0;B;;4
2031 : het einde van België?;Sottiaux, Stefan;YF0;Adolescenten;;;24.95;;;SOTT;3,00E+13;14130328;N;BA;0;A;;4
2031 : het einde van België?;Sottiaux, Stefan;YF0;Jongeren fictie grijs;;;25.00;;THR;SOTT;3,00E+13;14409538;N;B4;0;B;;4
24 snel te herkennen vogelgeluiden van bij ons;Devos, Sarah;JIH;Jeugd info: natuur;;NAVOG;19.99;;;;3,00E+13;31014999;N;B5;0;U;;5
24 uur in de jungle;Cook, Lan;JIH;Jeugd info: natuur;9+ - rood;NAOER;13.50;;;;3,00E+13;25671623;N;B5;0;B;;5
24 uur in de steentijd;Cook, Lan;JIK;Jeugd info: geschiedenis;;GEOER;11.99;;;;3,00E+13;23172648;N;B5;0;U;;5
2C;Mous, Mirjam;JFC;Jeugd fictie 12-14 jaar blauw;MOUS;;18.99;    ;;;NA116287X;5629831;N;B4;0;B;;4
2C;Mous, Mirjam;YF0;Adolescenten;MOUS;;18.99;;;;PI0753033;5629834;N;BA;0;B;;4
3 Meiden en de liefde;Moriarty, Jaclyn;YF0;Jongeren fictie grijs;MORI;;14.95;;;;NA0851787;3063858;N;BA;0;A;;4
3 vriendinnen & de liefde;Anderson, Jodi Lynn;YF0;Jongeren fictie grijs;ANDE;;14.95;;;;NA0960179;3744834;N;BA;0;A;;4
3 vriendinnen, 1 fruitige zomer;Anderson, Jodi Lynn;YF0;Jongeren fictie grijs;ANDE;;15.00;;;;NA0522821;3287890;N;BA;0;B;;4
3 zussen, 1 auto;Johnson, Maureen;YF0;Adolescenten;JOHN;;0.00;;;;PI0388297;3053903;N;BA;0;B;;4
3, 2, 1, go!;Kuipers, André;JFA;Jeugd fictie 7-8 jaar geel;;;11.99;;;KUIP;3,00E+13;25635859;N;B4;0;B;;4
300 dingen om te knutselen : voor grote en kleine handjes;Pedevilla, Pia;JIO;Jeugd info: vrije tijd - kunst;;VRKNU;13.99;;;;NA1041096;5679281;N;B5;0;B;;5
300 minuten;Heath, Jack;JFB;Jeugd fictie 9-11 jaar rood;HEAT;;12.50;;;;NA1147129;5927306;N;B4;0;B;;4
321 superslimme dingen die je moet weten over dieren;Masters, Mathilda;JIH;Jeugd info: natuur;9+ - rood;NADIE;20.50;;;;NA1110179;6183898;N;B5;0;B;;5
321 superslimme dingen die je moet weten over geschiedenis;Masters, Mathilda;JIK;Jeugd info: geschiedenis;;GEGES;20.50;;;;3,00E+13;13188008;N;B5;0;B;;5
321 superslimme dingen die je moet weten over geschiedenis;Masters, Mathilda;JIK;Jeugd info: geschiedenis;;GEGES;20.50;    ;;;3,00E+13;12434892;N;B5;0;U;;5
321 superslimme dingen die je moet weten over natuur;Masters, Mathilda;JIH;Jeugd info: natuur;;NANAT;22.99;;;;3,00E+13;27801908;N;B5;0;B;;5
321 superslimme dingen die je moet weten over natuur;Masters, Mathilda;JIH;Jeugd info: natuur;12+ - blauw;NANAT;20.99;;;;3,00E+13;28702176;N;B5;0;B;;5
321 superslimme dingen die je moet weten over wetenschap;Masters, Mathilda;JIE;Jeugd info: weetjes;;WEWEE;20.50;;;;3,00E+13;24102906;N;B5;0;B;;5
321 superslimme dingen die je moet weten over wetenschap;Masters, Mathilda;JIF;Jeugd info: wetenschappen;;WTWET;20.50;;;;3,00E+13;24107708;N;B5;0;B;;5
321 superslimme dingen die je moet weten voor je 13 wordt;Masters, Mathilda;JIE;Jeugd info: weetjes;;WEWEE;19.99;;;;NA104480X;5891774;N;B5;0;B;;5
321 superslimme dingen die je moet weten voor je 13 wordt;Masters, Mathilda;JIE;Jeugd info: weetjes;;WEWEE;19.99;;;;PI0778613;5891775;N;B5;0;B;;5
365 ideeën om te maken met legosteentjes;Hugo, Simon;JIO;Jeugd info: vrije tijd - kunst;;VRSPG;19.99;;;;3,00E+13;30733355;N;B5;0;B;;5
365 ideeën om te maken met legosteentjes;Hugo, Simon;JIO;Jeugd info: vrije tijd - kunst;9+ - rood;VRSPG;19.99;;;;3,00E+13;30611119;N;B5;0;U;;5
365 x wetenschap : knutselen en experimenteren;;JIF;Jeugd info: wetenschappen;;WTPRO;16.99;;;;PI0683086;5259572;N;B5;0;B;;5
365 x wetenschap : knutselen en experimenteren;;JIF;Jeugd info: wetenschappen;;WTPRO;16.99;    ;;;NA0858048;5259569;N;B5;0;B;;5
4 avonturen van Robbedoes ... en Kwabbernoot;Franquin, André;SJB;Strips jeugd 9-11 jaar;Robbedoes en Kwabbernoot;;2.21;;;;NA0398837;2818910;N;S4;0;B;;4
4 vriendinnen voor altijd;Brashares, Ann;YF0;Jongeren fictie grijs;BRAS;;14.95;;;;NA0641464;3381885;N;BA;0;A;;4
4 vriendinnen, 1 spijkerbroek;Brashares, Ann;YF0;Jongeren fictie grijs;BRAS;;14.95;;;;NA0641472;3180921;N;BA;0;A;;4
400 Minuten;Heath, Jack;JFB;Jeugd fictie 9-11 jaar rood;HEAT;;12.50;;;;NA1100874;6120347;N;B4;0;B;;4
48 uur;Van Driel, Marcel;JFC;Jeugd fictie 12-14 jaar blauw;;;14.99;;;VAND;3,00E+13;30574227;N;B4;0;B;;4
5 voor 12;Desmet, Thomas;YF0;Jongeren fictie grijs;;;16.99;;;DESM;3,00E+13;30108882;N;B4;0;B;;4
5 vriendjes & ik;Stephenson, John;FSJ;Speelfilms jeugd;5;;8.26;;;;NA0769142;4264420;N;D4;6;B;;2
50 gekke vragen over paarden : met super serieuze antwoorden!;Grundmann, Emmanuelle;JIH;Jeugd info: natuur;6+ - geel;NAPAA;9.99;;;;NA1115308;6249102;N;B5;0;U;;5
50 gekke vragen over piraten : met super serieuze antwoorden!;Billioud, Jean-Michel;JIG;Jeugd info: verkeer;6+ - geel;VESCH;10.99;;;;3,00E+13;23811541;N;B5;0;B;;5
50 gekke vragen over ridders;Billioud, Jean-Michel;JIK;Jeugd info: geschiedenis;;GEMID;0.00;    ;;;3,00E+13;7637834;N;B5;0;B;;5
50 gekke vragen over voetbal : met super serieuze antwoorden;Récamier, Joseph;JIO;Jeugd info: vrije tijd - kunst;;VRBAL;0.00;    ;;;3,00E+13;7637866;N;B5;0;B;;5
50 kaarsjes;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;4.99;    ;;;NA0951676;4088275;N;S4;0;U;;4
50 kaarsjes;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;5.95;    ;;;NA0904341;4088276;N;S4;0;B;;4
50 kaarsjes;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;Fc De Kampioenen;;6.50;    ;;;NA1119605;5894555;N;S4;0;U;;4
50 stoere beroepen;Righton, Natalie;JIN;Jeugd info: dagelijks leven;;DASCH;24.95;;;;PI0577103;3393654;N;B5;0;B;;5
50 stoere beroepen;Righton, Natalie;JIN;Jeugd info: dagelijks leven;;DASCH;24.95;    ;;;NA0638730;3393651;N;B5;0;B;;5
500 appjes die ik niet wil lezen;Stoffels, Maren;JFB;Jeugd fictie 9-11 jaar;;;13.99;;;STOF;3,00E+13;21660380;N;B4;0;B;;4
500 appjes die ik niet wil lezen;Stoffels, Maren;JFB;Jeugd fictie 9-11 jaar rood;;;13.99;;;STOF;3,00E+13;22843887;N;B4;0;B;;4
54 minuten;Nijkamp, Marieke;YF0;Jongeren fictie grijs;NIJK;;0.00;;;;NA1110276;6109757;N;BA;0;B;;4
54 minuten : de schoolbel gaat, iemand begint te schieten;Nijkamp, Marieke;YF0;Adolescenten;NIJK;;17.95;;;;PI0763543;5723809;N;BA;0;B;;4
60 gags van Bollie en Billie;Roba;SJB;Strips jeugd 9-11 jaar;Bollie en Billie;;2.48;    ;;;NA0398888;2751144;N;S4;0;B;;4
